"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"esv_9086","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_9085","Fungi","Ascomycota","Sordariomycetes","Xylariales","Incertae_sedis","Asteromella","Asteromella pistaciarum "
"esv_5688","Fungi","Basidiomycota","Agaricomycetes","Polyporales",NA,NA,NA
"esv_5689","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_9081","Fungi",NA,NA,NA,NA,NA,NA
"esv_5684","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"esv_5685","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora hymenocystis "
"esv_5686","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"esv_5687","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium polyphialidicum "
"esv_5680","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae "
"esv_5681","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"esv_5682","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_5683","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_23247","Fungi",NA,NA,NA,NA,NA,NA
"esv_20888","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_21891","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_23244","Fungi",NA,NA,NA,NA,NA,NA
"esv_9100","Fungi",NA,NA,NA,NA,NA,NA
"esv_20121","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_23241","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"esv_20889","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_22649","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"esv_9082","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_22261","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
